    You are an AI fairness auditor. You are given a CSV of model predictions with
    ground-truth labels and protected attributes. Your job is to independently
    analyse this data for bias using **only fairlearn** as your reference
    framework for metric definitions and mitigation strategies.

    ## Dataset
    Name: German Credit
    Target column: `actual` (ground truth)
    Prediction column: `predicted` (model output)
    Favorable label: 1

    Protected attributes and their privileged values:
      - `Sex_original` (privileged value: `male`)
  - `AgeGroup_original` (privileged value: `40_plus`)
  - `foreign_worker_original` (privileged value: `0`)

    ## Raw prediction data (CSV)
    ```
    actual,predicted,Sex_original,AgeGroup_original,foreign_worker_original
1,1,male,under_40,1
1,1,male,under_40,1
2,2,male,40_plus,1
1,2,male,under_40,1
2,1,male,under_40,1
1,1,male,under_40,1
1,1,female,under_40,1
1,1,female,under_40,1
1,1,male,under_40,1
1,1,female,40_plus,1
1,1,male,under_40,1
2,1,male,40_plus,1
1,1,male,40_plus,1
2,1,female,under_40,1
2,2,female,under_40,1
1,1,male,40_plus,1
1,1,male,40_plus,1
1,1,female,40_plus,1
1,1,male,under_40,1
1,1,male,under_40,1
1,1,male,40_plus,1
1,1,male,under_40,1
2,1,male,40_plus,1
2,2,female,under_40,1
1,1,female,40_plus,1
1,1,female,40_plus,1
1,1,male,under_40,1
1,1,female,under_40,1
1,1,male,40_plus,1
1,1,female,under_40,1
1,1,male,40_plus,1
1,1,male,under_40,1
1,1,male,under_40,1
2,2,male,under_40,1
1,1,male,under_40,1
1,2,male,40_plus,1
1,1,male,under_40,1
2,2,female,under_40,1
1,1,male,40_plus,1
1,2,male,40_plus,1
2,1,female,under_40,1
2,2,male,under_40,1
1,1,female,40_plus,1
1,1,male,40_plus,1
1,1,male,under_40,1
1,1,male,40_plus,1
2,2,female,under_40,1
2,2,female,under_40,1
1,1,male,40_plus,1
2,1,male,under_40,1
1,1,male,40_plus,1
1,1,female,under_40,1
1,1,male,40_plus,1
2,2,female,under_40,1
2,2,female,under_40,1
2,1,male,40_plus,1
1,1,male,under_40,1
1,1,male,under_40,1
2,1,male,40_plus,1
2,1,male,under_40,1
2,1,female,under_40,1
2,2,male,under_40,1
1,2,male,under_40,1
2,2,male,under_40,1
2,1,female,under_40,1
1,1,male,under_40,1
1,1,male,under_40,1
1,1,female,under_40,1
2,2,female,under_40,0
1,2,female,under_40,1
2,1,male,under_40,1
1,1,female,40_plus,1
1,1,male,under_40,1
1,2,male,under_40,1
2,1,female,under_40,1
1,1,male,under_40,1
1,1,male,under_40,1
2,1,male,under_40,1
2,1,male,under_40,1
1,1,male,under_40,1
2,2,male,under_40,1
1,1,male,under_40,1
2,1,male,40_plus,1
1,1,male,40_plus,1
1,1,female,under_40,1
1,1,male,under_40,1
1,1,female,under_40,1
1,1,female,40_plus,1
2,2,female,under_40,1
1,1,male,40_plus,1
2,1,male,40_plus,1
2,2,female,under_40,1
1,1,male,under_40,1
1,1,male,40_plus,1
2,1,female,under_40,1
1,1,male,40_plus,1
2,2,male,under_40,1
2,1,male,under_40,1
1,1,female,under_40,1
1,1,male,40_plus,1
1,1,male,40_plus,1
1,1,female,under_40,1
1,1,female,40_plus,1
