race,sex,n,selection_rate,small_subgroup,disparate_impact_vs_best
Asian,Female,254,0.8622047244094488,False,1.0
Asian,Male,556,0.8525179856115108,False,0.9887651522617522
White,Male,4019,0.8280666832545409,False,0.9604061075189653
White,Female,2318,0.7864538395168249,False,0.9121428093026188
American Indian,Female,25,0.76,False,0.8814611872146119
Black,Male,1707,0.7451669595782073,False,0.8642575695564596
Black,Female,1994,0.7442326980942828,False,0.8631739968764741
Pacific Islander,Male,15,0.7333333333333333,False,0.8505327245053271
Pacific Islander,Female,12,0.6666666666666666,True,0.7732115677321156
Multiracial,Male,29,0.6551724137931034,False,0.7598803338056999
Multiracial,Female,18,0.6111111111111112,False,0.708777270421106
American Indian,Male,31,0.5806451612903226,False,0.6734423331860363
