activity_year,lei,derived_msa-md,state_code,county_code,census_tract,conforming_loan_limit,derived_loan_product_type,derived_dwelling_category,derived_ethnicity,derived_race,derived_sex,action_taken,purchaser_type,preapproval,loan_type,loan_purpose,lien_status,reverse_mortgage,open-end_line_of_credit,business_or_commercial_purpose,loan_amount,loan_to_value_ratio,interest_rate,rate_spread,hoepa_status,total_loan_costs,total_points_and_fees,origination_charges,discount_points,lender_credits,loan_term,prepayment_penalty_term,intro_rate_period,negative_amortization,interest_only_payment,balloon_payment,other_nonamortizing_features,property_value,construction_method,occupancy_type,manufactured_home_secured_property_type,manufactured_home_land_property_interest,total_units,multifamily_affordable_units,income,debt_to_income_ratio,applicant_credit_score_type,co-applicant_credit_score_type,applicant_ethnicity-1,applicant_ethnicity-2,applicant_ethnicity-3,applicant_ethnicity-4,applicant_ethnicity-5,co-applicant_ethnicity-1,co-applicant_ethnicity-2,co-applicant_ethnicity-3,co-applicant_ethnicity-4,co-applicant_ethnicity-5,applicant_ethnicity_observed,co-applicant_ethnicity_observed,applicant_race-1,applicant_race-2,applicant_race-3,applicant_race-4,applicant_race-5,co-applicant_race-1,co-applicant_race-2,co-applicant_race-3,co-applicant_race-4,co-applicant_race-5,applicant_race_observed,co-applicant_race_observed,applicant_sex,co-applicant_sex,applicant_sex_observed,co-applicant_sex_observed,applicant_age,co-applicant_age,applicant_age_above_62,co-applicant_age_above_62,submission_of_application,initially_payable_to_institution,aus-1,aus-2,aus-3,aus-4,aus-5,denial_reason-1,denial_reason-2,denial_reason-3,denial_reason-4,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units
2022,549300VORTI31GZTJL53,12060,GA,13117.0,13117130507.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,2,1,2,1,1,2,2,2,365000.0,96.5,6.75,1.053,2,10593.83,,1420.06,425.06,13.0,360,,,2,2,2,2,375000,1,1,3,5,1,,162.0,41,2,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,45-54,9999,No,,2,1,1,2.0,,,,10,,,,3167,22.96,95700,107.28,1047,1357,27
2022,549300AG64NHILB7ZP05,12060,GA,13121.0,13121010315.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,1,3,2,1,32,1,2,2,2,145000.0,46.452,3.75,0.761,2,5875.88,,4189.88,2594.88,,360,,,2,2,2,2,315000,1,1,3,5,1,,88.0,30%-<36%,3,10,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,2,,,,,10,,,,5387,97.22,95700,97.91,896,1516,18
2022,549300J7I82PNDVU8H22,12060,GA,13135.0,13135050624.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Sex Not Available,1,71,2,1,1,1,2,2,2,15000.0,100.0,8.25,4.167,2,0.0,,0.0,,,120,,,2,2,2,2,435000,1,1,3,5,1,,136.0,30%-<36%,1,10,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,3,5,2,4,65-74,9999,Yes,,2,2,1,,,,,10,,,,4079,78.62,95700,124.68,798,833,13
2022,IUGPUX5LWRZ3B6KIZ697,10500,GA,13177.0,13177020102.0,C,Conventional:Subordinate Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,3,0,2,1,1,2,2,2,2,5000.0,3.927,,,3,,,,,,360,,,2,2,2,2,195000,1,1,3,5,1,,44.0,20%-<30%,2,10,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,2,5,2,4,35-44,9999,No,,1,1,6,,,,,9,,,,3559,25.51,57500,113.02,977,1297,26
2022,549300Z6CO0YC8ULYR28,99999,GA,13161.0,13161960101.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,71,1,1,1,1,2,2,2,35000.0,80.0,5.5,,3,3878.4,,360.0,,,144,,,2,2,2,2,45000,1,3,3,5,1,,81.0,20%-<30%,1,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,55-64,9999,No,,1,1,6,,,,,10,,,,2864,36.24,64100,59.37,470,928,33
2022,549300FX7K8PTEQUU487,12060,GA,13135.0,13135050551.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Ethnicity Not Available,Race Not Available,Female,3,0,2,1,31,1,2,2,2,175000.0,58.667,,,3,,,,,,360,,,2,2,2,2,305000,1,1,3,5,1,,269.0,<20%,2,10,3.0,,,,,5.0,,,,,2,4,6.0,,,,,8.0,,,,,2,4,2,5,2,4,55-64,9999,No,,1,1,6,,,,,3,,,,4448,80.78,95700,118.09,939,1116,25
2022,549300FGXN1K3HLB1R50,12060,GA,13089.0,13089023101.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,3,2,1,32,1,2,2,2,115000.0,46.27,3.34,0.432,2,5983.59,,4077.5,2802.5,,348,,,2,2,2,2,255000,1,1,3,5,1,,25.0,45,2,10,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,2,,,,,10,,,,4281,72.34,95700,75.63,1054,1895,58
2022,549300HW662MN1WU8550,12060,GA,13067.0,13067030110.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,Black or African American,Female,1,1,2,1,1,1,2,2,2,415000.0,97.0,6.875,0.911,2,9021.2,,5626.75,4571.75,,360,,,2,2,2,2,425000,1,1,3,5,1,,90.0,48,1,10,2.0,,,,,5.0,,,,,2,4,3.0,,,,,8.0,,,,,2,4,2,5,2,4,35-44,9999,No,,2,1,1,2.0,,,,10,,,,4882,49.51,95700,97.23,1103,1418,24
2022,549300CDOC4F7XSRG390,16860,GA,13047.0,13047030402.0,C,Conventional:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Female,1,1,2,1,4,1,2,2,2,155000.0,65.833,6.375,-0.447,2,4726.42,,2277.5,1382.5,200.0,360,,,2,2,2,2,245000,1,1,3,5,1,,54.0,36,2,10,2.0,,,,,5.0,,,,,2,4,5.0,,,,,8.0,,,,,2,4,2,5,2,4,65-74,9999,Yes,,1,1,1,,,,,10,,,,6667,13.42,75200,127.47,1635,2597,33
2022,549300FGXN1K3HLB1R50,46660,GA,13173.0,13173950202.0,C,FHA:First Lien,Single Family (1-4 Units):Site-Built,Not Hispanic or Latino,White,Joint,1,2,2,2,32,1,2,2,2,195000.0,80.0,5.375,0.728,2,11838.84,,6197.89,4237.89,,360,,,2,2,2,2,245000,1,1,3,5,1,,74.0,43,1,9,2.0,,,,,2.0,,,,,2,2,5.0,,,,,5.0,,,,,2,2,1,2,2,2,45-54,35-44,No,No,1,1,3,,,,,10,,,,4384,34.1,63700,86.93,1060,1732,19
