id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term,loan_status_clean
,,3600,3600,3600.0, 36 months,11.99,119.56,B,B5,Post Order Processing Rep,2 years,RENT,59100.0,Source Verified,Sep-2017,Current,n,,,car,Car financing,220xx,VA,29.52,0.0,Oct-2009,0.0,57.0,110.0,6.0,1.0,19986,95.2,8.0,w,2059.5,2059.5,2030.12,2030.12,1540.5,489.62,0.0,0.0,0.0,Feb-2019,119.56,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,42457.0,0.0,2.0,0.0,2.0,20.0,22471.0,53.0,0.0,0.0,11021.0,67.0,21000.0,0.0,0.0,1.0,2.0,7076.0,1014.0,95.2,0.0,0.0,83.0,95.0,25.0,20.0,0.0,25.0,,1.0,,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,0.0,0.0,0.0,0.0,87.5,75.0,1.0,0.0,63136.0,42457.0,21000.0,42136.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,current
,,19000,19000,18950.0, 36 months,12.87,639.04,C,C1,Staples,10+ years,OWN,80000.0,Not Verified,Nov-2009,Does not meet the credit policy. Status:Fully Paid,n,,"  573329 added on 11/12/09 > consolidating credit card debt into one easy monthly payment with a lower rate.<br/> 573329 added on 11/17/09 > I have been a Sr. Manager at the Staples Corporate Headquarters for the past 12 years, gradually working my way up over the years. My position there is very stable. I am using this money to get a lower rate so I can pay off high interest credit cards. My credit score is high and you will see that I have no delinquencies.<br/>",debt_consolidation,consolidation,016xx,MA,21.3,0.0,Oct-1997,4.0,,,11.0,0.0,45444,80.0,38.0,f,0.0,0.0,19403.0393790978,19351.98,19000.0,403.04,0.0,0.0,0.0,Feb-2010,18766.01,Feb-2010,May-2018,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,does not meet the credit policy. status:fully paid
,,24000,24000,24000.0, 36 months,11.55,792.0,B,B4,,,MORTGAGE,70000.0,Verified,Jul-2018,Current,n,,,debt_consolidation,Debt consolidation,329xx,FL,30.04,2.0,May-1979,0.0,3.0,,9.0,0.0,10147,55.1,17.0,w,19957.77,19957.77,5528.6,5528.6,4042.23,1486.37,0.0,0.0,0.0,Feb-2019,792.0,Mar-2019,Feb-2019,0.0,,1,Joint App,115000.0,20.13,Source Verified,0.0,82.0,267045.0,0.0,3.0,0.0,2.0,24.0,43597.0,54.0,0.0,2.0,4897.0,55.0,18400.0,0.0,0.0,0.0,5.0,29672.0,6872.0,58.6,0.0,0.0,82.0,470.0,18.0,18.0,2.0,19.0,3.0,20.0,3.0,0.0,3.0,4.0,4.0,5.0,8.0,5.0,7.0,4.0,9.0,0.0,0.0,0.0,0.0,88.2,50.0,0.0,0.0,318784.0,53744.0,16600.0,71720.0,17923.0,May-2005,0.0,2.0,14.0,61.1,3.0,13.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,current
,,16000,16000,16000.0, 60 months,10.75,345.89,B,B4,Broker,1 year,OWN,120000.0,Source Verified,Jun-2016,Charged Off,n,,,debt_consolidation,Debt consolidation,917xx,CA,5.39,0.0,Dec-1999,2.0,,,9.0,0.0,22049,50.0,20.0,w,0.0,0.0,9329.47,9329.47,6156.16,3173.31,0.0,0.0,0.0,Sep-2018,345.89,,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,22049.0,2.0,0.0,0.0,0.0,44.0,0.0,0.0,2.0,4.0,13794.0,50.0,43970.0,0.0,1.0,3.0,4.0,2449.0,5953.0,53.0,0.0,0.0,44.0,197.0,2.0,2.0,0.0,2.0,,2.0,,0.0,7.0,9.0,15.0,15.0,1.0,9.0,19.0,6.0,9.0,,0.0,0.0,2.0,100.0,28.6,0.0,0.0,43970.0,22049.0,41670.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,charged off
,,3000,3000,3000.0, 36 months,6.49,91.94,A,A2,Manager of case management,< 1 year,MORTGAGE,110000.0,Not Verified,Jan-2016,Fully Paid,n,,,other,Other,103xx,NY,12.28,0.0,Aug-1996,0.0,44.0,,16.0,0.0,8896,74.8,32.0,w,0.0,0.0,3308.496665196,3308.5,3000.0,308.5,0.0,0.0,0.0,Jan-2019,91.68,,Feb-2019,0.0,44.0,1,Individual,,,,0.0,0.0,279640.0,0.0,8.0,0.0,1.0,14.0,31781.0,64.0,0.0,0.0,5949.0,66.0,11900.0,0.0,0.0,0.0,1.0,21511.0,51.0,99.1,0.0,0.0,140.0,233.0,85.0,14.0,4.0,163.0,44.0,,44.0,3.0,1.0,3.0,1.0,5.0,14.0,7.0,14.0,4.0,16.0,0.0,0.0,0.0,0.0,90.6,100.0,0.0,0.0,352372.0,40677.0,6000.0,49472.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,fully paid
,,12000,12000,12000.0, 36 months,6.97,370.37,A,A3,Management,9 years,RENT,31000.0,Source Verified,Mar-2016,Current,n,,,credit_card,Credit card refinancing,191xx,PA,15.45,0.0,Feb-2001,0.0,53.0,,11.0,0.0,12944,51.2,20.0,w,367.86,367.86,12953.66,12953.66,11632.14,1321.52,0.0,0.0,0.0,Feb-2019,370.37,Mar-2019,Feb-2019,0.0,78.0,1,Individual,,,,0.0,0.0,12944.0,0.0,0.0,0.0,0.0,32.0,0.0,,2.0,3.0,4943.0,51.0,25300.0,0.0,0.0,1.0,3.0,1849.0,415.0,94.6,0.0,0.0,132.0,181.0,11.0,11.0,1.0,12.0,,11.0,53.0,1.0,2.0,5.0,2.0,4.0,3.0,11.0,16.0,5.0,11.0,0.0,0.0,0.0,2.0,84.2,100.0,0.0,0.0,25300.0,12944.0,7700.0,0.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,current
,,4000,4000,4000.0, 60 months,16.32,97.96,D,D5,pinto brothers disposal,4 years,RENT,52000.0,Source Verified,Jul-2010,Fully Paid,n,,,car,johns car loan,070xx,NJ,2.15,0.0,Feb-1996,0.0,37.0,,6.0,0.0,3514,74.8,12.0,f,0.0,0.0,4108.3167958,4108.32,4000.0,108.32,0.0,0.0,0.0,Oct-2010,4010.89,,Oct-2017,0.0,,1,Individual,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,fully paid
,,40000,40000,40000.0, 60 months,16.02,973.15,C,C5,Owner/Stylist,< 1 year,RENT,24000.0,Source Verified,Sep-2017,Current,n,,,debt_consolidation,Debt consolidation,593xx,MT,53.75,0.0,Sep-2008,1.0,,,6.0,0.0,10515,89.1,11.0,w,31696.8,31696.8,16507.95,16507.95,8303.2,8204.75,0.0,0.0,0.0,Feb-2019,973.15,Mar-2019,Feb-2019,0.0,,1,Joint App,81000.0,19.5,Source Verified,0.0,0.0,344806.0,0.0,1.0,0.0,2.0,13.0,31221.0,99.0,0.0,0.0,10018.0,95.0,11800.0,3.0,0.0,4.0,3.0,57468.0,485.0,95.6,0.0,0.0,107.0,69.0,26.0,11.0,1.0,64.0,,0.0,,0.0,2.0,2.0,2.0,2.0,7.0,3.0,3.0,2.0,6.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,368285.0,41736.0,11000.0,54385.0,15638.0,Aug-2005,1.0,3.0,10.0,94.6,5.0,6.0,0.0,0.0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,current
,,35000,35000,35000.0, 36 months,9.75,1125.25,B,B3,Senior Geotechnical Engineer,8 years,MORTGAGE,87000.0,Source Verified,Jun-2016,Fully Paid,n,,,credit_card,Credit card refinancing,801xx,CO,28.52,0.0,Dec-1991,0.0,,,22.0,0.0,64535,82.0,39.0,w,0.0,0.0,36171.46,36171.46,35000.0,1171.46,0.0,0.0,0.0,Oct-2016,32814.67,,Oct-2016,0.0,,1,Individual,,,,0.0,0.0,321444.0,1.0,7.0,0.0,1.0,14.0,36224.0,70.0,1.0,3.0,25208.0,77.0,78700.0,0.0,3.0,0.0,4.0,15307.0,466.0,99.0,0.0,0.0,225.0,293.0,6.0,6.0,3.0,28.0,,,,0.0,4.0,9.0,4.0,6.0,17.0,13.0,19.0,9.0,22.0,0.0,0.0,0.0,1.0,100.0,100.0,0.0,0.0,376500.0,100759.0,47200.0,51800.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,fully paid
,,18000,18000,18000.0, 36 months,7.35,558.68,A,A4,Clinical ,9 years,MORTGAGE,115000.0,Not Verified,Sep-2017,Current,n,,,debt_consolidation,Debt consolidation,361xx,AL,24.06,0.0,Apr-2002,0.0,67.0,,13.0,0.0,20407,44.3,23.0,w,9991.96,9991.96,9513.15,9513.15,8008.04,1505.11,0.0,0.0,0.0,Feb-2019,558.68,Mar-2019,Feb-2019,0.0,,1,Individual,,,,0.0,0.0,442092.0,1.0,3.0,1.0,1.0,2.0,92126.0,45.0,0.0,2.0,11578.0,45.0,46100.0,2.0,0.0,3.0,3.0,36841.0,4572.0,75.4,0.0,0.0,185.0,150.0,15.0,2.0,2.0,35.0,,2.0,,0.0,3.0,8.0,3.0,6.0,8.0,9.0,13.0,8.0,13.0,0.0,0.0,0.0,1.0,95.7,33.3,0.0,0.0,533355.0,112533.0,18600.0,117255.0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,,current
