Dataset,Attribute,PrivilegedValue,DisparateImpact,DemographicParityDiff,EqualOpportunityDiff,AverageOddsDiff,BiasFlag
Diabetes,older_age,0,0.252,-0.4175,-0.461,-0.3334,True
Diabetes,high_pregnancy_count,1,2.0175,0.2035,0.3964,0.1838,False
Healthcare Insurance,sex,male,0.8979,-0.0503,-0.0178,-0.0112,False
Healthcare Insurance,smoker,no,0.2921,-0.7079,-0.1912,,True
Healthcare Insurance,region,southeast,1.1154,0.0517,0.0271,0.0083,False
Healthcare Insurance,age_bucket,30_50,0.4076,-0.3727,-0.1065,-0.0608,True
German Credit,Sex,male,1.3571,0.1429,0.17,0.0975,False
German Credit,AgeGroup,under_35,0.6154,-0.2404,-0.2714,-0.1821,True
German Credit,Housing,own,1.9701,0.294,0.2028,0.2376,False
Lending Club,gender,male,0.0,-0.0069444444444444,-0.0714285714285714,-0.0357142857142857,True
Lending Club,income_level,medium,,0.0071942446043165,0.064516129032258,0.032258064516129,False
Lending Club,loan_amount_level,medium,,0.00625,0.054054054054054,0.027027027027027,False
